date,open,high,low,close,volume,oi
2004-11-02T00:00:00+05:30,139.08,145.21,138.47,142.74,8864040,0
2004-11-03T00:00:00+05:30,142.9,145.73,142.9,144.65,8978136,0
2004-11-04T00:00:00+05:30,145.45,146.21,143.72,144.06,6555808,0
2004-11-05T00:00:00+05:30,144.49,145.24,142.78,143.45,5023848,0
2004-11-08T00:00:00+05:30,143.39,146.33,142.28,145.75,10291728,0
2004-11-09T00:00:00+05:30,146.1,147.44,144.87,146.27,7338712,0
2004-11-10T00:00:00+05:30,146.59,147.58,146.48,147,5734392,0
2004-11-11T00:00:00+05:30,147.58,148.12,146.6,147.24,5235128,0
2004-11-12T00:00:00+05:30,148.19,148.68,146.49,147.3,1813408,0
2004-11-16T00:00:00+05:30,147.45,147.45,145.73,146.58,4005504,0
2004-11-17T00:00:00+05:30,146.65,148.92,146.65,148.36,5467936,0
2004-11-18T00:00:00+05:30,148.86,151.95,148.5,151.52,7472128,0
2004-11-19T00:00:00+05:30,151.76,152.25,149.07,149.8,6812760,0
2004-11-22T00:00:00+05:30,148.66,150.9,147.08,150.46,4738272,0
2004-11-23T00:00:00+05:30,151.47,152.87,150.67,152.08,4312792,0
2004-11-24T00:00:00+05:30,152.5,153.24,151.41,151.87,3223304,0
2004-11-25T00:00:00+05:30,151.88,153.12,148.76,149.77,6310872,0
2004-11-29T00:00:00+05:30,149.67,153.57,148.38,153.1,5281488,0
2004-11-30T00:00:00+05:30,153.63,158.28,153.24,156.89,10508144,0
2004-12-01T00:00:00+05:30,157.67,157.67,154.72,155.28,8481864,0
2004-12-02T00:00:00+05:30,155.7,157.18,152.51,152.94,9657704,0
2004-12-03T00:00:00+05:30,153.76,154.58,150.35,152.22,9777216,0
2004-12-06T00:00:00+05:30,152.62,153.85,148.75,149.49,11473872,0
2004-12-07T00:00:00+05:30,149.67,151.75,149.55,149.95,7863224,0
2004-12-08T00:00:00+05:30,149.92,150.97,147.21,147.8,7329408,0
2004-12-09T00:00:00+05:30,148.31,149.79,148.3,149.11,3801224,0
2004-12-10T00:00:00+05:30,150.16,152.07,149.42,150.86,6216808,0
2004-12-13T00:00:00+05:30,150.9,152.83,150.81,152.15,4996232,0
2004-12-14T00:00:00+05:30,152.87,153.2,151.43,151.78,3083504,0
2004-12-15T00:00:00+05:30,153.12,154.44,152.38,153.3,5772672,0
2004-12-16T00:00:00+05:30,153.66,155.7,152.38,155.41,4350464,0
2004-12-17T00:00:00+05:30,155.08,156.91,154.11,154.65,5509752,0
2004-12-20T00:00:00+05:30,155.08,156.13,154.65,155.4,2268424,0
